,osm_id,amenity,beds,addrcity,opening_ho,shop,addrhousen,addrfull,source,man_made,addrstreet,tourism,rooms,name,geometry,long,lat,nearest_office,nearest_school
6093,5201378806.0,restaurant,,,"Mo, We-Su 08:00-21:00",,,,,,,,,Yong's,POINT (112.6772951 -7.2933082),112.6772951,-7.2933082,0.25801387914262963,0.12133903049698996
6095,5201380510.0,restaurant,,,,,,,,,,,,Hot-star,POINT (112.6770054 -7.2932682),112.6770054,-7.2932682,0.2344793940455751,0.09069390027769829
6116,5214052022.0,restaurant,,,Mo-Su 09:00-21:00,,,,,,,,,Ikan Bakar Cianjur,POINT (112.706848 -7.2874895),112.706848,-7.2874895,0.47550411105840285,1.238660147855691
6117,5214052023.0,restaurant,,,Mo-Su 11:00-22:00,,,,,,,,,D'Jang Gem,POINT (112.7069902 -7.2875585),112.7069902,-7.2875585,0.45811259639607677,1.2252271895856408
6118,5215360843.0,restaurant,,,,,,,,,,,,Jenggala,POINT (112.6970649 -7.2852836),112.6970649,-7.2852836,0.053010678554063634,1.2166510704566766
6120,5215380054.0,restaurant,,,,,,,,,,,,Pondok Tempo Doeloe,POINT (112.7067562 -7.2874728),112.7067562,-7.2874728,0.48516757631806035,1.2480914147615418
6123,5217656994.0,restaurant,,,,,,,,,,,,Warjo,POINT (112.629427 -7.2843041),112.629427,-7.2843041,0.28371119935768585,1.47959653225036
6124,5217656996.0,restaurant,,,,,,,,,,,,Mubaarok,POINT (112.6293315 -7.2842962),112.6293315,-7.2842962,0.2928296142512364,1.484953984620279
6127,5220864523.0,restaurant,,,Mo-Su 10:00-22:00,,,,,,,,,Sushi Tei,POINT (112.6762476 -7.288564),112.6762476,-7.288564,0.31404939114249847,0.4759551040421356
6130,5220872823.0,restaurant,,,,,,,,,,,,Gyu-Kaku,POINT (112.6761834 -7.2889666),112.6761834,-7.2889666,0.2906588889861011,0.4315659314993764
6131,5225896573.0,restaurant,,,"Mo-Th, Su 17:00-00:00; Fr, Sa 17:00-02:00",,,,,,,,,RPP,POINT (112.6546571 -7.2958734),112.6546571,-7.2958734,0.1427894449420254,0.10355334837427281
6133,5225896736.0,restaurant,,,,,,,,,,,,Alam laut,POINT (112.6545743 -7.2910886),112.6545743,-7.2910886,0.042571579925389534,0.05311347130745334
6148,5236172993.0,restaurant,,,,,,,,,,,,Jaloe,POINT (112.7412787 -7.2635565),112.7412787,-7.2635565,0.12345386361663316,0.418759659200571
6150,5236172995.0,restaurant,,,,,,,,,,,,Soto wawan,POINT (112.7352073 -7.2875354),112.7352073,-7.2875354,0.3456241296806817,0.6755351996012916
6151,5236173644.0,restaurant,,,,,,,,,,,,Hari hari,POINT (112.7319699 -7.287601),112.7319699,-7.287601,0.32878389398539987,0.5407689040085633
6152,5236173645.0,restaurant,,,,,,,,,,,,Penta,POINT (112.7304422 -7.2914652),112.7304422,-7.2914652,0.1318780096122826,0.517422269501325
6158,5239013190.0,restaurant,,,,,,,,,,,,Larris,POINT (112.6841431 -7.2803702),112.6841431,-7.2803702,0.07921692764734618,0.18218176773616218
6159,5239013191.0,restaurant,,,,,,,,,,,,Host,POINT (112.6656467 -7.3129219),112.6656467,-7.3129219,0.6982162385697294,1.576388135672134
6161,5240396715.0,restaurant,,,"Mo-Th, Su 10:00-21:00; Fr, Sa 10:00-22:00",,,,,,,,,Curry house,POINT (112.6838866 -7.2808138),112.6838866,-7.2808138,0.08351770596398975,0.20942554014452222
6163,5240396717.0,restaurant,,,Mo-Su 10:00-23:00,,,,,,,,,Pizza Hut,POINT (112.6555037 -7.2871493),112.6555037,-7.2871493,0.24238041489414008,0.4841817469480844
6167,5240459587.0,restaurant,,,,,,,,,,,,Loempia 23,POINT (112.6819403 -7.2785313),112.6819403,-7.2785313,0.320427494502296,0.48234718827500117
6172,5240459592.0,restaurant,,,,,,,,,,,,Hachi hachi,POINT (112.6546636 -7.2905468),112.6546636,-7.2905468,0.0842704497437708,0.10523355012116477
6179,5246520809.0,fast_food,,,,,,,,,,,,Burger King,POINT (112.7753379 -7.3828088),112.7753379,-7.3828088,1.5523449223200727,2.291548319425875
6201,5254926101.0,restaurant,,,Tu-Su 18:00-23:00,,,,,,,,,Beatus,POINT (112.6372976 -7.2920029),112.6372976,-7.2920029,0.5393439821719478,0.5367273328797345
6202,5254926733.0,restaurant,,,Tu-Su 05:00-22:00,,,,,,,,,Palimanan,POINT (112.6369459 -7.2932764),112.6369459,-7.2932764,0.3965237211171693,0.39378953167158903
6214,5269623755.0,restaurant,,,,,,,,,,,,Bamegah,POINT (112.7274566 -7.2922127),112.7274566,-7.2922127,0.43948461563228675,0.3732785102193205
6222,5269624033.0,restaurant,,,,,,,,,,,,Ria,POINT (112.7406498 -7.2692806),112.7406498,-7.2692806,0.18868094482149977,0.2191618877571607
6228,5276657698.0,cafe,,Surabaya,,,,,,,Jalan Boulevard Famili Selatan,,,Tea Presso,POINT (112.6760609 -7.2992134),112.6760609,-7.2992134,0.016365838871894713,0.7022580066757383
6240,5291378445.0,fast_food,,,,,,,,,,,,Carl's Jr,POINT (112.7407895 -7.278384),112.7407895,-7.278384,0.49893028380106047,0.4374734686833898
6247,5295169467.0,restaurant,,,Mo-Su 16:00-00:00,,,,,,,,,Chuan wei,POINT (112.6763618 -7.2933087),112.6763618,-7.2933087,0.20500743039008737,0.04945465348356997
6248,5295169468.0,restaurant,,,,,,,,,,,,Bakso solo,POINT (112.676354 -7.2933919),112.676354,-7.2933919,0.21344384893858936,0.058439727362039263
6249,5295169484.0,restaurant,,,,,,,,,,,,Kao,POINT (112.6761291 -7.2938037),112.6761291,-7.2938037,0.17227046643783675,0.10502748203967069
6250,5295169485.0,restaurant,,,,,,,,,,,,United steak,POINT (112.6759986 -7.2938192),112.6759986,-7.2938192,0.16186968243867653,0.11002082576824519
6251,5295169486.0,restaurant,,,Mo-Su 07:00-23:00,,,,,,,,,Cwie mie Malang,POINT (112.6761273 -7.2936565),112.6761273,-7.2936565,0.18479504009058353,0.08906099379534475
6252,5295169487.0,restaurant,,,,,,,,,,,,Pawon,POINT (112.6764366 -7.2931209),112.6764366,-7.2931209,0.1886965558367508,0.03243017256685093
6254,5295169640.0,fast_food,,,,,,,,,,,,Depot family,POINT (112.6766245 -7.2925759),112.6766245,-7.2925759,0.1483060919102894,0.04913385975363782
6256,5295169642.0,restaurant,,,,,,,,,,,,Warung ayam betutu,POINT (112.6762392 -7.2930264),112.6762392,-7.2930264,0.1710866418868112,0.01840684766358237
